Type of product,Sub industry,Industry,Generic product type,Search Modifiers
H5-Marble cleaner,Home,Households,Marble floor cleaner,
H6-Wood polish for furniture,Home,Households,Furniture polish,
H6-Leather cleaner,Home,Households,Leather and vinyl cleaner,
H7-Carpet shampoo,Home,Households,Carpet shampoo,
H7-Spot remover for carpets,Home,Households,Stain remover,
H7-Fabric freshener for furnitures,Home,Households,Fabric refresher,
H8-Surface disinfectant spray,Home,Households,Disinfectant and cleaner,
H8-Disinfectant wipes,Home,Households,Cleaning wet wipes,
H9-Stain remover for laundry,Home,Households,Stain remover,
H9-Fabric refresher,Home,Households,Fabric refresher,
H9-Stain remover on the go,Home,Households,Stain remover,
H10-Liquid dish soap,Home,Households,Dishwashing soap,
H11-Aerosol air freshener,Home,Households,Air freshener,
H11-Odor neutralizing spray,Home,Households,Odor eliminator,air
H12-Hand soap,Home,Households,Hand soap,
F1-FM general purpose cleaner,Facilities management,Facilities management,General purpose cleaner,officesupply:general purpose cleaner
F1-FM wood furniture cleaner,Facilities management,Facilities management,Furniture polish,fine:Chemicals House Keeping Wax Furniture Polish Fine Solution Prime
F2-FM general hard floor cleaner,Facilities management,Facilities management,Floor cleaner,fine:Floor Cleaner; gogreen:floor cleaner; officesupply:floor cleaner
F2-FM hard floor polish,Facilities management,Facilities management,Floor polish,
F2-FM high performance waterless carpet cleaner,Facilities management,Facilities management,Upholstery cleaner,
F2-FM high performance carpet shampoo,Facilities management,Facilities management,Carpet shampoo,gogreen:carpet shampoo
F2-FM stain spot remover,Facilities management,Facilities management,Stain remover,gogreen:stain remover
F2-FM marble floor cleaner,Facilities management,Facilities management,Marble floor cleaner,
F2-FM hardwood and laminate floor cleaner,Facilities management,Facilities management,Floor cleaner,officesupply: wood floor cleaner
F3-FM broad-spectrum disinfectant for surfaces and touchpoints,Facilities management,Facilities management,Disinfectant and cleaner,fine:Disinfectant; gogreen:disinfectant; officesupply:disinfectant
F3-FM surface sanitizing wipes,Facilities management,Facilities management,Cleaning wet wipes,
F4-FM heavy-duty toilet and urinal cleaner,Facilities management,Facilities management,"Toilet, shower and tile cleaner",officesupply:toilet cleaner
F4-FM restroom deodorizer,Facilities management,Facilities management,Odor eliminator,officesupply:Blue Drops Automatic Bowl Cleaner - Hygiene Supplies | unbranded
F4-FM restroom air freshener,Facilities management,Facilities management,Air freshener,officesupply:air freshener
F4-FM diffuser with 500mL of scent,Facilities management,Facilities management,Air freshener,
F4-FM shower and tile cleaner,Facilities management,Facilities management,"Toilet, shower and tile cleaner",officesupply: bathroom cleaner
F5-FM streak-free glass cleaner for large window areas,Facilities management,Facilities management,Glass cleaner,fine:glass cleaner;  gogreen:glass cleaner; officesupply:glass cleaner
F6-FM degreaser for food service areas,Facilities management,Facilities management,Degreaser, gogreen:Degrease and Multi-Purpose 12PcsX1 LTR; officesupply:degreaser
F6-FM grill cleaner,Facilities management,Facilities management,Degreaser,officesupply:grill cleaner
F6-FM oven and appliance cleaner,Facilities management,Facilities management,Degreaser,gogreen:oven kitchen cleaner
F6-FM food-safe surface sanitizers,Facilities management,Facilities management,Disinfectant and cleaner,gogreen:Surface Cleaner and Disinfectant; officesupply:surface sanitizer
F7-FM air freshener,Facilities management,Facilities management,Air freshener,officesupply:air freshener
F7-FM odor eliminator,Facilities management,Facilities management,Odor eliminator,officesupply:odor eliminator
F8-FM stainless steel polish and cleaner for fixtures and fittings,Facilities management,Facilities management,Stainless steel cleaner,gogreen:stainless steel; officesupply:stainless steel cleaner
F8-FM escalator cleaner,Facilities management,Facilities management,General purpose cleaner,
F8-FM escalator tread brightener,Facilities management,Facilities management,Surface lubricant and protectant,
F9-FM epoxy cleaner for heavy-traffic parking lot area,Facilities management,Facilities management,Epoxy cleaner,
F10-FM HVAC system cleaner,Facilities management,Facilities management,Disinfectant and cleaner,gogreen:Air Conditioner and Coil Cleaner 
F10-FM HVAC system deodorizer,Facilities management,Facilities management,Odor eliminator,
F11-Fabric refresher,Facilities management,Facilities management,Fabric refresher,
C1-Waterless car wash product,Automotive,Transportation,Vehicle dry wash exterior cleaner,
C2-Wheel cleaner,Automotive,Transportation,Degreaser,
C3-Car glass cleaner,Automotive,Transportation,Glass cleaner,
C4-Car upholstery cleaner,Automotive,Transportation,Upholstery cleaner, liquid
C4-Car leather cleaner,Automotive,Transportation,Leather and vinyl cleaner,
C4-Car dashboard and plastic protectant,Automotive,Transportation,Surface lubricant and protectant,
C4-Car surface disinfectant,Automotive,Transportation,Disinfectant and cleaner,
C4-Car air freshener,Automotive,Transportation,Air freshener,
C4-Car odor eliminator,Automotive,Transportation,Odor eliminator,
C5-Car gum remover,Automotive,Transportation,Gum remover,
C5-Car bug and poop remover,Automotive,Transportation,Bug remover,
C6-Car engine degreaser,Automotive,Transportation,Degreaser,
C7-Microfiber for vehicle cleaning,Automotive,Transportation,Microfiber,
C7-Long brush for seating cleaning,Automotive,Transportation,Brush,automotive
U1-On-site waterless curtain care cleaning,Curtain care,Facilities management,Stain remover,
P1-Deodorizing wipes for pets,Pets,Households,Cleaning wet wipes,
P1-Waterless shampoo for pets,Pets,Households,Pet dry shampoo,
P2-Pet-specific odor eliminator for home,Pets,Households,Odor eliminator,
P2-Litter box deodorizer,Pets,Households,Odor eliminator,
P3-Pet urine odor remover,Pets,Households,Odor eliminator,
P3-Carpet cleaner for pet accidents,Pets,Households,Carpet shampoo,
P4-Flea and tick home spray,Pets,Households,Bug repellent,
P5-Antiseptic spray for pets,Pets,Households,Disinfectant and cleaner,
P6-Pet-safe disinfectant and cleaner,Pets,Households,Disinfectant and cleaner,
P6-Cage and habitat cleaner,Pets,Households,Disinfectant and cleaner,
P6-Aquarium cleaner ,Pets,Households,Disinfectant and cleaner,Liquid treatment
V1-General purpose cleaner for high-traffic area surfaces,Airports,Transportation,General purpose cleaner,
